,latitude
135,17.3948624
136,16.449897
137,17.515397
138,17.4774828
139,17.6788421
140,17.5284576
141,17.451523
142,17.515397
143,17.3942627
144,17.373017
145,17.46565735
146,17.4511764
147,17.4177464
148,17.4981608
149,17.4535469
150,17.3942627
151,17.4930841
152,17.4258278
153,17.4177464
154,17.4258278
155,17.5271759
156,16.449897
157,16.449897
158,17.6788421
159,17.451523
160,17.3948624
161,17.4774828
162,0.0
163,17.7776835
164,17.4685307
165,17.4665153
166,17.3995625
167,0.0
168,18.0191012
169,65.0563891
170,17.4057955
171,16.449897
172,29.3547048
173,17.5284576
174,17.4258278
175,65.0563891
176,17.4308362
177,17.4436222
178,0.0
179,0.0
180,0.0
181,17.4930841
182,17.4930841
183,17.50679
184,17.3410061
185,17.3775306
186,17.5163573
187,17.4981608
188,17.3636816
189,17.4436222
190,0.0
191,17.4981608
192,17.4930841
193,17.4930841
194,17.5410548
195,17.4039678
196,17.515397
197,17.4930841
198,17.4981608
199,17.3948624
200,0.0
201,17.390263150000003
202,6.4318831
203,17.5271759
204,17.6788421
205,17.6788421
206,17.4308362
207,17.46565735
208,16.449897
209,17.4436222
210,18.9898611
211,17.4436222
212,17.3847673
213,17.46565735
214,17.5271759
215,17.515397
216,17.4255053
217,17.4440199
218,17.3775306
219,17.3948624
220,17.4255053
221,0.0
222,17.451523
223,17.451523
224,17.4930841
225,17.4436222
226,17.5284576
227,17.4930841
228,17.451523
229,16.449897
230,17.4308362
231,17.5022292
232,17.46565735
233,17.50679
234,17.6788421
235,17.6788421
236,17.4981608
237,17.4046565
238,16.449897
239,58.4804569
240,17.4256007
241,6.4318831
242,18.0018724
243,17.5410548
244,17.6788421
245,17.4440199
246,17.4545079
247,17.2601779
248,17.373017
249,17.4511764
250,18.0191012
251,0.0
252,17.4774828
253,17.4545079
254,17.46565735
255,18.0191012
256,17.4935675
257,17.4039678
258,17.4545079
259,17.5410548
260,17.360589
261,18.9898611
262,17.5284576
263,17.515397
264,17.4930841
265,17.6788421
266,18.9898611
267,17.50679
268,15.9753367
269,17.3948624
270,17.3948624
271,17.3847673
272,17.39999505
273,17.515397
274,17.5286092
275,17.4258278
276,17.4939602
277,17.6788421
278,17.5284576
279,17.4930841
280,18.0191012
281,17.5271759
282,17.39999505
283,17.5022292
284,17.4930841
285,17.6788421
286,16.449897
287,17.4930841
288,33.6290111
289,17.6788421
290,17.5284576
291,17.39999505
292,17.3501617
293,17.5284576
294,17.3942627
295,17.3940158
296,17.4436222
297,17.4440199
298,17.4665153
299,16.449897
300,0.0
301,17.4511764
302,17.4177464
303,12.8722856
304,18.0191012
305,17.5163573
306,17.451523
307,17.3847673
308,18.0191012
309,16.449897
310,0.0
311,17.4440199
312,17.3915525
313,0.0
314,17.5022292
315,16.449897
316,17.374360600000003
317,0.0
318,0.0
319,17.4258278
320,17.3948624
321,17.4535469
322,17.39999505
323,17.3948624
324,17.46565735
325,17.4177464
326,17.3948624
327,17.4405369
328,0.0
329,17.3975005
330,17.4981608
331,31.4197963
332,17.4930841
333,17.4755371
334,16.449897
335,17.515397
336,17.4774828
337,17.6788421
338,0.0
339,17.5284576
340,31.4197963
341,17.5284576
342,17.4841072
343,17.50679
344,17.4177464
345,17.4511764
346,17.41526
347,17.6788421
348,17.46565735
349,17.6788421
350,17.4408578
351,17.4535469
352,18.0191012
353,17.4436222
354,17.4405369
355,17.46565735
356,17.5410548
357,17.515397
358,0.0
359,18.9898611
360,17.45121
361,17.39999505
362,17.3392402
363,17.3775306
364,17.4930841
365,17.4258278
366,17.515397
367,17.4930841
368,17.451523
369,15.9753367
370,17.5271759
371,17.5410548
372,17.515397
373,17.4285479
374,16.449897
375,0.0
376,17.374360600000003
377,18.0191012
378,17.4255053
379,17.4029622
380,17.5163573
381,17.5286092
382,17.3915525
383,17.515397
384,17.3847673
385,17.4930841
386,17.5271759
387,17.6788421
388,17.5083929
389,17.5271759
390,17.4511764
391,17.3975005
392,33.6290111
393,17.515397
394,16.449897
395,6.4318831
396,17.4408578
397,0.0
398,17.4798689
399,17.5410548
400,17.4981608
401,17.6788421
402,0.0
403,17.46565735
404,17.4522594
405,17.4535469
406,17.451523
407,17.6788421
408,18.9898611
409,17.6788421
410,17.46565735
411,17.515397
412,17.4917948
413,17.4535469
414,17.4930841
415,17.5038613
416,65.0563891
417,17.2356174
418,17.6788421
419,17.6788421
420,17.4930841
421,17.3768805
422,16.449897
423,17.4930841
424,16.449897
425,29.3547048
426,17.4436222
427,17.4454293
428,17.4930841
429,17.4930841
430,17.374360600000003
431,17.50679
432,17.4408578
433,17.4308362
434,17.3233363
435,17.4285479
436,17.451523
437,17.4685307
438,6.4318831
439,17.4930841
440,31.4197963
441,18.0823869
442,17.4917948
443,17.50679
444,17.39999505
445,0.0
446,17.3398864
447,17.50679
448,17.5410548
449,44.3730577
450,12.52720555
451,17.3501617
452,17.3948624
453,17.5163573
454,17.6788421
455,17.5022292
456,17.4436222
457,17.39004015
458,17.5022292
459,17.3506317
460,17.4930841
461,17.4308362
462,17.5410548
463,0.0
464,17.5043618
465,0.0
466,17.5410548
467,17.3981159
468,30.9210023
469,17.5271759
470,17.39999505
471,0.0
472,17.3775306
473,17.4872976
474,17.4258278
475,17.6788421
476,16.449897
477,18.0191012
478,17.39999505
479,22.1041221
480,17.4930841
481,17.4177464
482,17.390263150000003
483,17.4930841
484,17.515397
485,17.5248934
486,17.5286092
487,17.3948624
488,28.5244107
489,29.3547048
490,17.4436222
491,17.45121
492,17.4177464
493,17.4892154
494,17.451523
495,18.0191012
496,17.451523
497,17.6788421
498,0.0
499,17.515397
500,17.6788421
501,17.4308362
502,17.8231821
503,18.0823869
504,17.3975005
505,17.4308362
506,31.4197963
507,17.4177464
508,17.451523
509,17.5163573
510,17.39999505
511,17.5022292
512,17.4981608
513,17.4029622
514,17.4436222
515,17.4511764
516,17.6788421
517,17.4308362
518,18.0191012
519,18.0018724
520,6.4318831
521,18.0191012
522,17.3995282
523,18.0018724
524,17.4930841
525,17.373017
526,17.5038613
527,17.4440199
528,17.4930841
529,17.46565735
530,17.39999505
531,17.5022292
532,17.4668161
533,17.4177464
534,17.4078455
535,18.0191012
536,17.4308362
537,17.46565735
538,17.4930841
539,17.515397
540,17.4930841
541,17.5030543
542,18.0191012
543,17.4981608
544,17.50679
545,0.0
546,17.451523
547,16.449897
548,17.451523
549,17.4436222
550,17.5410548
551,18.9898611
552,17.4511764
553,17.4930841
